Date,Open,High,Low,Close,Adj Close,Volume
2021-07-22,764.200012,767.099976,755.650024,758.450012,729.951355,2182264
2021-07-23,758.500000,767.849976,758.250000,764.200012,735.485168,1179241
2021-07-26,763.000000,764.099976,752.500000,754.299988,725.957153,1187498
2021-07-27,756.000000,760.000000,742.650024,745.549988,717.535950,1732564
2021-07-28,750.700012,750.700012,724.650024,728.700012,701.319153,4016758
2021-07-29,730.000000,738.849976,726.099976,731.450012,703.965820,2489035
2021-07-30,735.200012,760.000000,731.849976,743.099976,715.177979,4642619
2021-08-02,750.000000,759.049988,744.599976,757.700012,729.229370,2260861
2021-08-03,763.400024,772.700012,755.500000,770.849976,741.885315,3235393
2021-08-04,773.000000,775.799988,764.549988,766.250000,737.458191,2659372
2021-08-05,766.000000,766.349976,756.700012,759.349976,730.817444,1451370
2021-08-06,763.799988,772.299988,755.000000,758.250000,729.758850,4471604
2021-08-09,762.000000,782.000000,761.500000,774.950012,745.831238,6700633
2021-08-10,776.950012,789.799988,775.150024,786.299988,756.754761,4724852
2021-08-11,786.299988,789.950012,767.500000,778.700012,749.440369,3147983
2021-08-12,781.000000,794.650024,773.750000,776.200012,747.034302,3551026
2021-08-13,782.950012,789.500000,772.599976,778.650024,749.392273,3391864
2021-08-16,780.400024,803.950012,780.250000,799.299988,769.266296,7131928
2021-08-17,799.250000,803.950012,782.000000,790.650024,760.941406,3835522
2021-08-18,793.900024,797.000000,786.900024,791.349976,761.615051,2450964
2021-08-20,788.799988,791.349976,776.250000,785.650024,756.129272,3050982
2021-08-23,790.000000,793.450012,763.650024,765.900024,737.121338,2512960
2021-08-24,767.000000,779.900024,761.599976,778.150024,748.911011,1662376
2021-08-25,780.950012,783.000000,770.549988,772.049988,743.040161,1693443
2021-08-26,771.000000,782.900024,767.250000,781.400024,752.038940,2576883
2021-08-27,779.900024,785.000000,765.000000,775.150024,746.023743,2907125
2021-08-30,783.950012,794.150024,783.000000,791.549988,761.807556,3028708
2021-08-31,788.000000,795.799988,781.299988,793.299988,763.491760,3324467
2021-09-01,793.299988,802.500000,768.900024,769.900024,740.971008,6031309
2021-09-02,772.849976,774.150024,750.000000,752.450012,724.176758,4879865
2021-09-03,756.000000,757.000000,745.099976,749.900024,721.722534,4257842
2021-09-06,753.000000,759.799988,747.049988,754.750000,726.390320,3682183
2021-09-07,755.099976,758.700012,748.099976,753.099976,724.802307,2273976
2021-09-08,756.000000,757.799988,749.000000,754.750000,726.390320,2380939
2021-09-09,750.000000,756.500000,747.549988,750.750000,722.540588,3313559
2021-09-13,753.500000,753.500000,740.349976,745.549988,717.535950,3139833
2021-09-14,744.799988,752.549988,744.650024,750.200012,722.011353,3089381
2021-09-15,752.000000,760.000000,746.500000,755.099976,726.727112,3336656
